'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for February 2012,,,,,,,,,,
Issued at 22:33 GMT on Thursday 01 March 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/02/2012, , , ,30.0, ,97,60,2.09,27.75
BRISBANE,02/02/2012,4.3,0.4, ,28.4,22.4,92,58,2.24,19.04
BRISBANE,03/02/2012,2.7,3.2, ,28.0,20.6,97,57,1.23,10.98
BRISBANE,04/02/2012,4.5,0.2, ,29.4,20.3,93,54,1.24,21.60
BRISBANE,05/02/2012,5.5,0.0, ,31.7,19.9,96,48,1.22,26.97
BRISBANE,06/02/2012,5.7,0.0, ,34.0,22.3,89,51,1.18,26.52
BRISBANE,07/02/2012,4.5,0.0, ,30.5,23.3,89,58,1.40,20.23
BRISBANE,08/02/2012,4.2,0.0, ,30.6,21.9,95,53,1.07,19.27
BRISBANE,09/02/2012,5.2,32.2, ,30.5,19.9,96,54,2.08,24.93
BRISBANE,10/02/2012,5.4,0.0, ,29.0,19.8,93,52,1.60,27.85
BRISBANE,11/02/2012,4.5,0.0, ,30.2,20.0,94,57,1.27,22.02
BRISBANE,12/02/2012,5.2,1.2, ,32.2,20.7,97,52,0.99,25.32
BRISBANE,13/02/2012, ,14.8, , ,21.0,100,62,1.25,19.45
BRISBANE,14/02/2012, ,1.6, , , ,100,58,2.20,24.72
BRISBANE,15/02/2012, ,0.0, ,29.7, ,84,17,2.18,25.21
BRISBANE,16/02/2012,5.4,0.0, ,29.4,19.6,85,51,2.31,25.64
BRISBANE,17/02/2012,5.5,0.0, ,29.9,20.1,83,50,2.17,26.44
BRISBANE,18/02/2012,4.8,0.0, ,29.7,20.1,92,58,1.84,23.47
BRISBANE,19/02/2012,5.1,0.0, ,31.3,21.5,97,56,1.33,25.23
BRISBANE,20/02/2012,5.4,0.0, ,32.4,21.9,98,46,1.39,25.55
BRISBANE,21/02/2012,3.5,20.0, ,31.2,22.6,98,65,1.34,15.60
BRISBANE,22/02/2012,4.8,0.2, ,29.5,22.9,93,55,2.02,22.37
BRISBANE,23/02/2012,1.2,5.2, ,23.5,21.1,98,82,1.00,4.22
BRISBANE,24/02/2012,1.5,10.4, ,27.1,20.1,98,81,1.35,5.00
BRISBANE,25/02/2012,3.4,58.4, ,28.9,20.7,98,72,2.49,15.78
BRISBANE,26/02/2012,4.0,14.0, ,29.2,22.3,98,61,2.20,17.82
BRISBANE,27/02/2012,4.8,0.4, ,29.1,20.7,98,55,1.84,23.79
BRISBANE,28/02/2012,4.9,0.0, ,29.7,21.1,96,56,1.63,24.18
BRISBANE,29/02/2012,5.2,0.0, ,30.6,20.6,97,53,1.48,26.23
Totals:,,111.2,162.2, ,,,,,, 
