'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for September 2015,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 October 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/09/2015, ,0.0, , ,9.3,72,16,1.43,20.55
BRISBANE,02/09/2015, , , ,25.1, ,86,25,1.13,18.21
BRISBANE,03/09/2015,4.3,2.4, ,25.3,16.3,92,21,3.03,18.38
BRISBANE,04/09/2015,3.6,0.2, ,24.9,12.7,70,34,1.85,18.00
BRISBANE,05/09/2015,2.9,0.0, ,23.6,12.0,88,42,1.33,16.63
BRISBANE,06/09/2015,2.6,0.0, ,24.0,13.4,90,50,1.11,14.06
BRISBANE,07/09/2015,2.9,0.0, ,25.5,13.8,97,52,1.15,16.22
BRISBANE,08/09/2015,3.8,0.0, ,28.1,14.8,93,28,1.60,18.52
BRISBANE,09/09/2015,3.9,0.0, ,25.6,10.7,82,21,1.56,21.51
BRISBANE,10/09/2015,3.6,0.0, ,25.0,11.0,85,33,1.82,18.69
BRISBANE,11/09/2015,2.7,0.0, ,21.6,13.3,85,53,2.23,12.51
BRISBANE,12/09/2015,3.3,0.0, ,24.5,15.7,90,41,1.56,16.79
BRISBANE,13/09/2015,3.2,0.0, ,25.4,13.2,91,44,1.25,17.76
BRISBANE,14/09/2015,3.0,0.0, ,25.4,12.7,93,44,1.46,15.43
BRISBANE,15/09/2015,3.2,0.0, ,25.6,13.4,94,51,1.26,17.98
BRISBANE,16/09/2015,3.7,0.0, ,27.4,13.0,97,46,1.21,21.14
BRISBANE,17/09/2015,1.4,10.2, ,19.9,16.4,97,81,0.86,6.81
BRISBANE,18/09/2015,3.2,18.0, ,22.8,12.5,96,47,2.25,16.44
BRISBANE,19/09/2015,3.9,0.6, ,24.0,13.0,84,37,2.40,19.33
BRISBANE,20/09/2015,3.2,0.0, ,23.3,13.4,92,50,1.91,16.91
BRISBANE,21/09/2015,3.2,1.6, ,24.3,14.2,91,49,1.32,17.49
BRISBANE,22/09/2015,4.0,0.0, ,29.4,13.5,94,25,1.15,21.14
BRISBANE,23/09/2015,3.4,0.0, ,23.5,14.7,82,37,1.67,16.79
BRISBANE,24/09/2015,4.2,0.6, ,23.1,11.1,69,27,1.78,23.43
BRISBANE,25/09/2015,3.2,0.2, ,23.4,9.4,81,39,1.61,15.81
BRISBANE,26/09/2015,3.2,0.0, ,23.1,13.7,81,48,1.95,15.37
BRISBANE,27/09/2015,3.4,0.4, ,24.1,12.4,90,43,1.05,19.96
BRISBANE,28/09/2015,3.7,12.2, ,24.8,11.8,94,49,1.21,22.15
BRISBANE,29/09/2015,3.4,0.0, ,25.7,13.1,96,50,1.43,18.44
BRISBANE,30/09/2015,4.0,7.8, ,26.6,12.0,96,46,1.22,23.67
Totals:,,94.1000000000001,54.2, ,,,,,, 
