'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for February 2016,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 March 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/02/2016,5.8,0.0, ,35.0,24.6,88,56,2.07,24.11
BRISBANE,02/02/2016,4.1,0.0, ,36.2,23.5,91,32,1.45,13.50
BRISBANE,03/02/2016,4.2,0.2, ,34.1,24.4,93,49,1.47,16.53
BRISBANE,04/02/2016, ,0.2, , ,24.8,93,55,1.64,3.62
BRISBANE,05/02/2016, , , ,27.0, ,89,65,1.79,9.79
BRISBANE,06/02/2016,4.4,1.2, ,29.9,22.1,91,56,2.57,18.34
BRISBANE,07/02/2016,3.3,7.8, ,28.6,21.4,89,57,1.83,12.55
BRISBANE,08/02/2016,5.4,0.2, ,30.9,19.9,82,43,2.15,23.61
BRISBANE,09/02/2016,5.8,0.0, ,30.4,20.0,81,44,2.82,24.90
BRISBANE,10/02/2016,5.7,0.0, ,30.9,21.7,78,44,2.58,23.56
BRISBANE,11/02/2016,5.5,0.0, ,31.0,20.4,84,46,2.25,24.77
BRISBANE,12/02/2016,5.8,0.0, ,30.6,20.8,79,45,2.59,25.44
BRISBANE,13/02/2016,3.9,0.0, ,28.9,20.5,80,54,2.46,14.54
BRISBANE,14/02/2016,5.7,0.2, ,32.5,20.3,87,43,1.86,26.10
BRISBANE,15/02/2016,6.2,0.0, ,34.3,20.9,91,42,1.94,28.06
BRISBANE,16/02/2016,6.3,0.0, ,36.0,21.3,93,30,1.65,27.69
BRISBANE,17/02/2016,5.6,0.0, ,33.8,24.9,82,49,1.91,23.59
BRISBANE,18/02/2016,5.9,0.0, ,32.6,24.6,81,53,2.15,26.16
BRISBANE,19/02/2016,4.8,0.4, ,32.7,26.0,93,57,2.75,18.95
BRISBANE,20/02/2016,5.2,3.6, ,32.3,22.2,93,47,1.80,23.03
BRISBANE,21/02/2016,6.2,0.0, ,31.8,22.3,83,39,2.60,26.56
BRISBANE,22/02/2016,6.2,0.2, ,31.8,21.2,83,35,2.80,25.60
BRISBANE,23/02/2016,5.6,0.0, ,31.7,20.5,84,41,2.56,23.62
BRISBANE,24/02/2016,5.1,0.0, ,32.0,20.1,82,38,1.74,22.70
BRISBANE,25/02/2016,5.4,0.0, ,31.9,19.8,90,43,1.35,26.81
BRISBANE,26/02/2016,5.5,0.0, ,32.8,20.5,88,47,1.66,26.05
BRISBANE,27/02/2016,6.3,0.0, ,35.5,21.2,84,33,2.16,26.31
BRISBANE,28/02/2016,4.4,0.0, ,32.9,23.0,82,48,2.33,15.26
BRISBANE,29/02/2016,5.3,0.0, ,32.9,23.0,75,47,2.61,20.16
Totals:,,143.6,14, ,,,,,, 
