'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for March 2013,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 April 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/03/2013,1.5,0.0, ,26.7,22.6,93,72,0.70,4.89
BRISBANE,02/03/2013,1.2,14.8, ,23.9,20.6,98,87,1.19,4.07
BRISBANE,03/03/2013,1.8,91.6, ,26.3,20.3,97,81,1.09,7.28
BRISBANE,04/03/2013,4.0,11.8, ,28.1,20.5,95,59,2.46,18.31
BRISBANE,05/03/2013,3.8,4.6, ,27.5,20.7,95,57,2.61,16.34
BRISBANE,06/03/2013,3.6,2.2, ,27.3,20.0,94,57,2.33,16.16
BRISBANE,07/03/2013, ,7.2, , ,19.1,96,54,1.82,22.95
BRISBANE,08/03/2013, , , ,28.1, ,95,52,1.94,17.21
BRISBANE,09/03/2013,3.7,5.0, ,26.7,19.8,94,59,2.10,17.38
BRISBANE,10/03/2013,3.9,3.2, ,28.3,19.2,92,50,1.88,17.91
BRISBANE,11/03/2013,4.4,0.8, ,28.0,19.7,95,55,2.43,21.14
BRISBANE,12/03/2013,4.1,0.2, ,27.6,18.9,91,49,2.32,18.94
BRISBANE,13/03/2013,4.5,1.4, ,28.5,19.3,91,45,2.19,21.09
BRISBANE,14/03/2013,4.2,0.0, ,29.9,17.9,87,48,1.69,19.70
BRISBANE,15/03/2013,4.3,0.0, ,30.8,18.3,89,45,1.14,21.83
BRISBANE,16/03/2013,4.6,0.0, ,31.2,20.1,93,44,1.15,23.24
BRISBANE,17/03/2013,4.9,0.0, ,32.4,20.3,95,55,2.09,23.35
BRISBANE,18/03/2013,4.1,0.0, ,27.1,20.3,78,52,2.74,17.38
BRISBANE,19/03/2013,3.9,0.0, ,26.8,17.5,86,46,2.16,18.02
BRISBANE,20/03/2013,3.0,0.0, ,27.2,20.3,94,46,1.99,10.67
BRISBANE,21/03/2013,2.6,5.0, ,26.9,19.2,90,57,1.56,10.11
BRISBANE,22/03/2013,2.9,0.4, ,28.1,20.8,94,65,1.28,13.59
BRISBANE,23/03/2013,4.1,0.0, ,31.2,21.4,95,54,1.06,20.28
BRISBANE,24/03/2013,3.8,0.0, ,31.1,23.6,95,61,1.22,17.74
BRISBANE,25/03/2013,4.1,21.2, ,30.8,19.5,96,55,1.38,20.87
BRISBANE,26/03/2013,3.9,0.0, ,29.1,19.7,97,54,1.44,20.09
BRISBANE,27/03/2013,3.7,0.4, ,28.2,20.7,93,55,1.55,18.40
BRISBANE,28/03/2013, ,0.6, ,28.2,19.4,94,53,1.02, 
BRISBANE,29/03/2013, ,0.2, ,30.2,18.7,93,50,1.37, 
BRISBANE,30/03/2013, ,0.0, ,26.7,21.1,88,59,1.41, 
BRISBANE,31/03/2013, ,0.0, ,28.3,18.0,96,62,0.70, 
Totals:,,90.6,170.6, ,,,,,, 
