'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for May 2022,,,,,,,,,,
Issued at 22:31 GMT on Friday 20 May 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/05/2022,1.9,0.0, ,23.1,18.7,97,66,1.11,10.28
BRISBANE,02/05/2022,2.8,0.0, ,25.4,17.6,89,51,1.78,14.67
BRISBANE,03/05/2022,2.5,0.4, ,25.8,15.0,86,54,1.18,15.05
BRISBANE,04/05/2022,2.2,0.0, ,26.3,16.0,98,56,0.95,13.01
BRISBANE,05/05/2022,2.6,0.0, ,28.3,17.8,100,56,1.00,15.41
BRISBANE,06/05/2022,2.2,11.0, ,26.9,20.0,97,63,1.23,11.53
BRISBANE,07/05/2022,2.1,0.4, ,25.3,18.8,90,62,1.52,9.83
BRISBANE,08/05/2022,1.9,2.6, ,23.0,15.7,93,67,1.60,10.50
BRISBANE,09/05/2022,1.2,2.0, ,19.3,17.0,95,75,1.40,5.26
BRISBANE,10/05/2022,1.9,12.6, ,23.6,16.5,95,64,2.01,8.98
BRISBANE,11/05/2022,1.2,11.2, ,22.3,18.7,95,86,2.64,5.18
BRISBANE,12/05/2022,1.6,40.4, ,23.3,19.1,96,76,3.06,6.09
BRISBANE,13/05/2022,1.5,67.6, ,24.2,20.6,95,78,2.47,6.15
BRISBANE,14/05/2022,1.3,28.2, ,24.6,19.1,98,91,1.97,6.58
BRISBANE,15/05/2022,2.1,18.8, ,27.5,20.8,99,75,1.43,11.67
BRISBANE,16/05/2022,1.9,0.8, ,27.6,21.8,99,70,0.38,10.80
BRISBANE,17/05/2022,1.8,27.0, ,27.6,20.9,100,67,1.18,8.92
BRISBANE,18/05/2022,2.0,0.4, ,26.3,20.0,98,65,0.70,11.97
BRISBANE,19/05/2022,1.7,0.4, ,22.7,17.7,99,65,1.40,9.38
Totals:,,36.4,223.8, ,,,,,, 
